Papilionidae, Parents: Lepidoptera
Cyanistes caeruleus, Parents: Paridae
Sturnidae, Parents: Passeri
Sturnus vulgaris, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Sturnus vulgaris.jpg
Sturnus vulgaris, Parents: Sturnidae
Columbiformes, Parents: Aves
Columbidae, Parents: Columbiformes
Columba livia, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Columba livia.jpg
Columba livia, Parents: Columbidae
Strigiformes, Parents: Aves
Strigidae, Parents: Strigiformes
Otus scops, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Otus scops.jpg
Otus scops, Parents: Strigidae
Coraciiformes, Parents: Aves
Alcedinidae, Parents: Coraciiformes
Alcedo atthis, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Alcedo atthis.jpg
Alcedo atthis, Parents: Alcedinidae
Galliformes, Parents: Aves
Phasianidae, Parents: Galliformes
Meleagris gallopavo, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Meleagris gallopavo.jpg
Meleagris gallopavo, Parents: Phasianidae
Coturnix coturnix, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Coturnix coturnix.jpg
Coturnix coturnix, Parents: Phasianidae
Gallus gallus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Gallus gallus.jpg
Gallus gallus, Parents: Phasianidae
Phasianus colchicus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Phasianus colchicus.jpg
Phasianus colchicus, Parents: Phasianidae
Perdix perdix, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Perdix perdix.jpg
Perdix perdix, Parents: Phasianidae
Accipitriformes, Parents: Aves
Accipitridae, Parents: Accipitriformes
Haliaeetus leucocephalus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Haliaeetus leucocephalus.jpg
Haliaeetus leucocephalus, Parents: Accipitridae
Haliaeetus albicilla, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Haliaeetus albicilla.jpg
Haliaeetus albicilla, Parents: Accipitridae
Aquila chrysaetos, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Aquila chrysaetos.jpg
Aquila chrysaetos, Parents: Accipitridae
Gyps fulvus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Gyps fulvus.jpg
Gyps fulvus, Parents: Accipitridae
Buteo jamaicensis, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Buteo jamaicensis.jpg
Buteo jamaicensis, Parents: Accipitridae
Buteo, Parents: Accipitridae
Apodiformes, Parents: Aves
Apodidae, Parents: Apodiformes
Apus apus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Apus apus.jpg
Apus apus, Parents: Apodidae
Anseriformes, Parents: Aves
Anatidae, Parents: Anseriformes
Anser anser, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Anser anser.jpg
Anser anser, Parents: Anatidae
Anas platyrhynchos, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Anas platyrhynchos.jpg
Anas platyrhynchos, Parents: Anatidae
Cygnus olor, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\birds\Cygnus olor.jpg
Cygnus olor, Parents: Anatidae
Actinopterygii, Parents: Chordata
Perciformes, Parents: Actinopterygii
Scombridae, Parents: Perciformes
Thunnus thynnus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\fish\Thunnus thynnus.jpg
Thunnus thynnus, Parents: Scombridae
Chondrichthyes, Parents: Chordata
Rajiformes, Parents: Chondrichthyes
Rajidae, Parents: Rajiformes
Raja clavata, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\fish\Raja clavata.jpg
Raja clavata, Parents: Rajidae
Cnidaria, Parents: Animalia
Medusozoa, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\invertebrates\Pelagia noctiluca.jpg
Medusozoa, Parents: Cnidaria
Malacostraca, Parents: Arthropoda
Decapoda, Parents: Malacostraca
Nephropidae, Parents: Decapoda
Homarus americanus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Homarus americanus.jpg
Homarus americanus, Parents: Nephropidae
Homarus gammarus, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Homarus gammarus.jpg
Homarus gammarus, Parents: Nephropidae
Palinuridae, Parents: Decapoda
Palinurus elephas, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Palinurus elephas.jpg
Palinurus elephas, Parents: Palinuridae
Isopoda, Parents: Malacostraca
Oniscidea, Parents: Isopoda
Armadillidiidae, Parents: Oniscidea
Armadillidium vulgare, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Armadillidium vulgare
Armadillidium vulgare, Parents: Armadillidiidae
Arachnidae, Parents: Arthropoda
Araneae, Parents: Arachnidae
Pholcidae, Parents: Araneae
Pholcus phalangioides, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Pholcus phalangioides.jpg
Pholcus phalangioides, Parents: Pholcidae
Chilopoda, Parents: Arthropoda
Scutigeromorpha, Parents: Chilopoda
Scutigeridae, Parents: Scutigeromorpha
Scutigera coleoptrata, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Scutigera coleoptrata.jpg
Scutigera coleoptrata, Parents: Scutigeridae
Diptera, Parents: Insecta
Muscidae, Parents: Diptera
Musca domestica, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Musca domestica.jpg
Musca domestica, Parents: Muscidae
Drosophilidae, Parents: Diptera
Drosophila melanogaster, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Drosophila melanogaster.jpg
Drosophila melanogaster, Parents: Drosophilidae
Tipulidae, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Tipulidae.jpg
Tipulidae, Parents: Diptera
Culicidae, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Culicidae.jpg
Culicidae, Parents: Diptera
Psychodidae, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Psychodidae.jpg
Psychodidae, Parents: Diptera
Hymenoptera, Parents: Insecta
Formicidae, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Formicidae.jpg
Formicidae, Parents: Hymenoptera
Apidae, Parents: Hymenoptera
Bombus terrestris, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Bombus terrestris.jpg
Bombus terrestris, Parents: Apidae
Xylocopa violacea, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Xylocopa violacea.jpg
Xylocopa violacea, Parents: Apidae
Apis mellifera, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Apis mellifera.jpg
Apis mellifera, Parents: Apidae
Vespidae, Parents: Hymenoptera
Vespa crabro, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Vespa crabro.jpg
Vespa crabro, Parents: Vespidae
Vespula vulgaris, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Vespula vulgaris.jpg
Vespula vulgaris, Parents: Vespidae
Coleoptera, Parents: Insecta
Curculionidae, Parents: Coleoptera
Scolytinae, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Scolytinae.jpg
Scolytinae, Parents: Curculionidae
Bombycidae, Parents: Lepidoptera
Bombyx mori, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Bombyx mori
Bombyx mori, Parents: Bombycidae
Iphiclides podalirius, Appearance: C:\dev\scripts\Alot of Knowledge\dat knowledge\!IMAGES\animals\arthropods\Iphiclides podalirius.jpg
Iphiclides podalirius, Parents: Papilionidae
